date,city_new_cases
5/1/2020,
12/25/2020,0
9/11/2021,0
9/12/2021,0
2/28/2022,0
3/7/2022,0
3/14/2022,0
3/21/2022,0
3/28/2022,0
4/3/2022,0
4/4/2022,0
4/10/2022,0
4/11/2022,0
4/17/2022,0
4/18/2022,0
4/24/2022,0
4/25/2022,0
5/1/2022,0
5/2/2022,0
5/8/2022,0
5/9/2022,0
5/15/2022,0
5/16/2022,0
5/22/2022,0
5/23/2022,0
5/29/2022,0
5/30/2022,0
6/5/2022,0
6/6/2022,0
6/12/2022,0
6/13/2022,0
6/19/2022,0
6/20/2022,0
6/26/2022,0
6/27/2022,0
7/3/2022,0
7/4/2022,0
7/10/2022,0
7/11/2022,0
7/17/2022,0
7/18/2022,0
7/24/2022,0
7/25/2022,0
7/31/2022,0
8/1/2022,0
8/7/2022,0
8/8/2022,0
8/14/2022,0
8/15/2022,0
8/21/2022,0
8/22/2022,0
8/23/2022,0
8/28/2022,0
8/29/2022,0
9/4/2022,0
9/5/2022,0
9/11/2022,0
9/12/2022,0
9/18/2022,0
9/19/2022,0
9/25/2022,0
9/26/2022,0
10/2/2022,0
10/3/2022,0
10/8/2022,0
10/9/2022,0
10/10/2022,0
10/16/2022,0
10/18/2022,0
10/19/2022,0
10/23/2022,0
10/24/2022,0
10/30/2022,0
10/31/2022,0
11/6/2022,0
11/7/2022,0
11/13/2022,0
11/14/2022,0
11/20/2022,0
11/21/2022,0
11/25/2022,0
11/27/2022,0
11/28/2022,0
12/4/2022,0
12/5/2022,0
12/11/2022,0
12/12/2022,0
12/18/2022,0
12/19/2022,0
12/25/2022,0
12/26/2022,0
12/27/2022,0
12/31/2022,0
1/1/2023,0
1/4/2023,0
1/6/2023,0
1/7/2023,0
1/8/2023,0
1/9/2023,0
1/14/2023,0
1/15/2023,0
1/16/2023,0
1/17/2023,0
1/19/2023,0
1/20/2023,0
1/22/2023,0
1/23/2023,0
1/27/2023,0
1/28/2023,0
1/29/2023,0
1/30/2023,0
2/1/2023,0
2/4/2023,0
2/5/2023,0
2/11/2023,0
2/12/2023,0
2/15/2023,0
2/18/2023,0
2/19/2023,0
2/20/2023,0
2/25/2023,0
2/26/2023,0
8/28/2023,0
8/29/2023,0
8/30/2023,0
9/1/2023,0
9/2/2023,0
9/3/2023,0
9/4/2023,0
9/5/2023,0
9/6/2023,0
9/8/2023,0
9/9/2023,0
9/10/2023,0
9/11/2023,0
9/12/2023,0
9/13/2023,0
9/15/2023,0
9/16/2023,0
9/18/2023,0
9/19/2023,0
9/21/2023,0
9/23/2023,0
9/24/2023,0
9/25/2023,0
9/26/2023,0
9/28/2023,0
9/29/2023,0
9/30/2023,0
10/1/2023,0
10/2/2023,0
10/3/2023,0
10/4/2023,0
10/6/2023,0
10/7/2023,0
10/8/2023,0
10/9/2023,0
10/10/2023,0
10/11/2023,0
10/13/2023,0
10/14/2023,0
10/15/2023,0
10/16/2023,0
10/17/2023,0
10/18/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0
10/24/2023,0
10/25/2023,0
10/27/2023,0
10/28/2023,0
10/29/2023,0
10/30/2023,0
10/31/2023,0
11/1/2023,0
11/3/2023,0
11/4/2023,0
11/5/2023,0
11/6/2023,0
11/7/2023,0
11/8/2023,0
11/10/2023,0
11/11/2023,0
11/12/2023,0
11/13/2023,0
11/14/2023,0
11/15/2023,0
11/17/2023,0
11/18/2023,0
11/19/2023,0
11/20/2023,0
11/21/2023,0
11/23/2023,0
11/24/2023,0
11/25/2023,0
11/26/2023,0
11/27/2023,0
11/28/2023,0
11/29/2023,0
12/28/2022,0
1/3/2023,0
12/30/2022,0
9/9/2020,256
6/22/2022,1792
6/11/2020,769
4/2/2021,258
11/13/2021,514
2/22/2022,514
11/25/2020,1538
12/22/2021,3074
7/16/2020,1795
9/9/2022,772
9/10/2021,772
11/23/2021,261
9/7/2022,517
1/25/2021,2565
9/21/2020,262
10/19/2021,262
9/13/2022,518
10/23/2020,1286
5/27/2020,519
1/18/2021,4103
11/12/2021,520
1/25/2023,520
1/12/2022,17928
7/20/2022,2314
12/11/2020,5898
1/14/2022,16651
1/21/2022,17419
9/6/2021,524
5/7/2022,3342
4/27/2022,783
8/4/2020,783
2/21/2023,1039
9/24/2022,1295
5/23/2020,528
9/3/2021,1040
9/6/2022,529
8/25/2022,1041
9/22/2023,2065
11/1/2022,274
10/7/2022,530
11/23/2022,1042
12/13/2020,3858
11/4/2022,531
10/25/2021,276
7/19/2021,532
9/26/2020,532
10/26/2022,532
8/2/2020,532
10/29/2022,1044
2/10/2023,533
12/13/2022,789
12/22/2022,1045
4/7/2021,278
6/16/2020,534
8/3/2020,790
5/26/2021,24
9/1/2020,280
3/24/2021,280
10/2/2020,536
11/19/2021,536
3/1/2022,536
11/30/2021,281
9/21/2021,537
7/26/2020,538
7/10/2021,538
9/14/2023,2842
8/21/2021,1563
10/9/2020,540
8/6/2021,1564
5/14/2022,3612
6/19/2021,29
10/11/2021,285
3/13/2021,285
3/14/2021,286
9/23/2020,542
8/26/2022,1310
2/20/2022,1310
5/6/2022,1566
9/5/2021,799
11/2/2021,288
8/29/2020,544
6/8/2022,2848
10/12/2022,289
3/19/2021,289
5/13/2020,545
7/8/2020,801
6/21/2021,34
10/29/2021,546
9/28/2020,291
10/8/2020,547
10/5/2021,292
10/14/2020,548
1/9/2022,22052
3/26/2021,293
11/8/2022,549
7/19/2020,1061
4/9/2021,294
2/6/2022,3366
1/2/2022,17446
9/6/2020,295
11/16/2021,295
6/12/2020,551
11/2/2023,809
1/13/2023,1833
6/1/2021,42
6/2/2021,42
3/15/2022,298
3/7/2021,554
10/30/2020,554
8/29/2021,810
4/1/2021,299
5/13/2022,1835
4/10/2021,300
3/20/2022,812
5/30/2020,812
6/20/2020,812
12/2/2022,1836
5/27/2022,2605
4/30/2022,2861
6/15/2020,302
7/11/2021,558
9/20/2022,558
5/28/2020,558
4/9/2022,1326
7/9/2021,559
8/11/2021,1327
8/10/2022,1583
7/20/2021,817
1/30/2022,6961
5/18/2021,50
9/22/2022,562
7/26/2022,1074
12/8/2022,1330
6/3/2022,2354
2/24/2023,563
10/1/2021,563
7/15/2020,819
8/4/2021,1331
10/2/2021,564
9/4/2021,821
5/20/2022,1333
5/8/2020,310
10/6/2021,566
7/2/2020,822
12/16/2021,1078
5/17/2022,823
9/1/2021,823
12/1/2021,568
8/18/2022,1080
8/6/2020,1336
10/25/2020,313
9/19/2021,569
6/21/2020,569
9/21/2022,569
6/7/2021,58
9/14/2020,314
7/9/2020,570
3/5/2022,570
7/25/2020,1594
8/5/2022,1850
6/14/2021,59
6/23/2022,2107
11/29/2021,316
11/15/2021,317
11/6/2021,573
8/20/2020,573
5/29/2021,62
5/16/2021,62
6/8/2021,62
10/26/2021,318
11/11/2021,574
8/16/2022,830
11/22/2022,830
5/19/2022,2110
10/31/2020,575
11/15/2022,576
8/25/2020,321
7/13/2021,577
7/28/2022,2625
10/28/2021,578
9/2/2020,578
9/18/2021,834
7/10/2020,834
8/25/2021,1090
7/19/2022,1346
6/17/2022,1858
6/10/2022,2626
11/9/2021,323
9/29/2022,579
5/10/2021,68
3/4/2022,580
6/23/2020,836
6/22/2020,1092
2/13/2022,2116
5/11/2021,69
10/15/2020,581
9/27/2020,326
2/14/2022,838
11/28/2020,1094
5/24/2021,71
6/22/2021,71
4/17/2021,327
3/25/2022,583
12/2/2020,2119
8/27/2022,2375
5/17/2021,72
6/16/2021,72
5/10/2022,840
8/8/2020,1096
5/28/2021,73
8/18/2021,1353
5/23/2021,74
7/4/2020,842
2/15/2021,842
7/9/2022,6986
6/18/2021,75
9/25/2020,587
7/3/2020,843
7/5/2020,843
9/2/2021,1099
7/6/2022,1355
6/13/2021,76
4/5/2022,332
9/30/2021,589
10/1/2022,1102
7/31/2021,1358
5/17/2020,335
3/8/2022,335
11/2/2022,591
6/17/2021,80
9/7/2023,2384
4/20/2022,593
6/2/2020,593
3/18/2022,1105
11/24/2022,2129
9/7/2021,338
8/13/2022,3922
9/29/2020,339
3/17/2021,339
7/1/2020,595
8/12/2020,851
5/5/2021,84
11/14/2021,341
11/1/2021,341
4/3/2021,341
7/28/2021,854
8/7/2020,1110
7/23/2022,5974
5/31/2021,87
6/10/2021,87
9/20/2021,343
9/4/2020,599
9/2/2022,1111
6/4/2021,88
4/21/2022,1112
7/23/2021,1368
5/3/2021,89
3/31/2022,345
5/11/2020,345
6/13/2020,601
11/15/2020,1114
6/7/2022,1114
1/25/2022,6234
4/19/2022,348
11/27/2020,1372
10/4/2020,349
5/11/2022,1373
5/26/2022,2653
5/4/2021,94
10/13/2021,350
6/27/2021,95
4/12/2022,351
7/12/2021,607
8/28/2021,1375
9/13/2020,352
10/13/2022,608
11/10/2020,608
6/9/2021,97
11/4/2021,609
6/6/2021,98
9/14/2021,610
5/25/2021,99
5/12/2022,1635
11/3/2020,356
6/6/2020,612
12/7/2021,357
6/19/2020,613
6/3/2021,102
10/24/2021,358
10/6/2020,358
10/26/2023,870
2/24/2022,870
7/17/2021,871
4/28/2022,1127
7/8/2022,2407
5/22/2021,104